,score,comment
32,4,Muito bom mais o cabo hdmi ficou falhando não funcionou muito bem quando foi instalado precisei precionar bem ele na entrada da tv pra tentar pegar.
33,3,"O controle veio carregado e eu usei até descarregar mais quando eu coloquei pra carregar tá dando defeito. Eu começo a jogar ai do nada no meio do jogo, o jogo paralisa e aparece uma mensagem dizendo q o controle está desconectado sendo q ele está conectado. Não carrega de jeito nenhum."
34,5,"Excelente ps3!. 
Recomendo a compra."
35,5,"Tudo funcionando, com exceção do cabo hdmi que veio com mal contato, mas como é algo barato, não diminui a qualidade do produto. Controles ótimos!."
36,1,"Total descaso com nós consumidores, eles estão vendendo produto usado como se fosse algo novo, estou completamente decepcionado com esta compra, fiz varias perguntas, questionei inúmeras vezes se o console era novo mesmo e foram capaz de mentir, me enganaram, o preço sugerido se tratando de algo seminovo é um absurdo. Lamentável."
37,5,Produto em perfeito estado top!.
38,4,"Está funcionando perfeitamente, mas a lateral está solta, tem dois ganchinhos que estão quebrados, mas pode ter cido o correio que deixo bater."
39,5,"Produto funcionando muito bem! inclusive, já vem com o software em português, precisando de pouca atualização na hora de usar. Não tem diferença entre esse modelo e os modelos americanos. A única diferença mesmo está no software. Como já vem em português, precisa de pouco tempo para baixar as atualizações de idioma."
40,5,Muito bom adorei excelentes produto.
41,1,O produto veio com defeito ele não rodava jogos de mídia física e também  o botão de ejetar não estava funcionando.
42,3,"Produto bom porém a caixa veio muito amassada  e o botão de ejetar o tampa do drive de dvd não abre a tampa tenho que abrir manualmente o resto está tudo ok funcionando perfeitamente e aproveitando bastante apesar do que mencionei logo acima pra mim valeu a pena , compraria novamente,  obrigado !."
43,5,Produto de excelente qualidade.
44,4,Otimo produto. Apenas o cabo hdmi que veio com problema e nao pegou! mas o playstation é perfeito!.
45,5,"Já opinei umas 3 vezes sobre esta compra! acho que o mercado livre tá ""bugado"" heheheheh! vamo lá outra vez! muito bom o play 3, porem alguns dos 100 jogos apenas uns poucos), ou  estão incompletos ou são versões de teste. Fora isso, tudo ok. Recomendo a compra sim!."
46,3,"Foi comprado para presente, quem recebeu diz que ficou satisfeito e ficou feliz com o console do ps3."
47,4,"Bom dia o produto eu achei mto bom. Só estou com problema pois canselei a primeira compra e depois fiz novamente só que me cobraram 2x, pois vcs deveriam ter estornado meu dinheiro em 15 dias e ate agora nada. Espero uma soluçao de vcs rapido. Atenciosamente tania."
48,4,"Não veio a nota fiscal, do produto e nem manual de estrução,por isso não dei 5 estrelas."
49,5,"Produto muito bom, por ser usado veio em ótimo estado sem marcas de arranhões, todos os jogos certinhos, só n testei o leitor de dvd ainda mais o resto está funcionando em perfeito estado. Ótimo produto, já faz mais de 2 semanas de uso e tô impressionado."
50,5,"55 jogos com muitas variedades. 
Só faltou um pouco dos jogos mais populares,mas pelo preço tá fantástico."
51,2,"Dos dois controles só um funcionou e o que está funcionando já apresenta problema no direcional esquerdo, fica mexendo sozinho o personagem do jogo. Mandei e-mail pra ver se trocavam o controle mas nada foi respondido. O vídeo game está bom, mas os controles não. Decepcionado."
52,3,"Produto funcionando, mais apresentando alguns pontos de ferrugem e muita poeira, pederia estar um pouo melhor armazenado."
53,3,"O console está funcionando o problema é que todos os jogos que já testei até agora:gta5 tomb raiden far cry 4 call of duty 3. Estão dando algumas travadas enquanto estou jogando principalmente o gta5, já estou até pesquisando no youtube como resolver o problema."
54,1,"Fiquei muito chateada, os dois controles ruins, já pedi a troca dos controles e até agora nada!."
55,2,"Faz semanas que reclamei dos controles e do vídeo game que desliga sozinho, e nada foi feito! os controles não querem pegar sem o cabo usb, e as vezes o vídeo game fica ligando sozinho. Fui procurar ajuda, mal me responderam, e até agora nada!."
56,5,"Produto de boa qualidade, veio tudo ok, ótimos jogos, gostei bastante, recomendo para todos do mercado livre !!!."
57,1,"Produto velho todo cheio de risco com peça  quebradas e colada com tree bond, o controle já estava com as letras todas desbotada de tanto uso. Péssima qualidade por se tratar de uma compra de um produto que estava anunciado como novo. Não  recomendo! !!."
58,4,"Exatamente como o anunciado, rodou as roms sem problemas. A qualidade da imagem é melhor do que esperava, o único problema é que algumas roms rodam bugadas (mas isso acontece em qualquer emulador)."
59,3,"Produto bom emula bem gba gbc  (100%). 
Super nintendo ( 80%). 
Mega driver (80%)."
60,4,"Atende ao que se propõe, dado o baixo custo. Alguns emuladores tem um fps meio inconstante, mas jogos gameboy color e advance, que eram meu objetivo, rodaram todos muito bem. A bateria realmente acaba muito rápido, mas desligar a chave de energia quando não estiver usando ajuda a aumentar a autonomia."
61,5,"Excelente console portátil, cumpre exatamente a promessa de emular games 2d de arcades, jogabilidade bastante fluída, algumas roms precisam ser baixadas compatíveis com neo geo, porque o emulador mame dele, ainda é bem fraquinho, fora isso estou bem satisfeito com o console."
