,score,comment
105,5,"Adorei, produto muito bom e excelente qualidade."
106,4,"Gostei, a quantidade é ótima. Eu recomendo."
107,5,"A sublimação fica perfeita,. Aderencia ótima, resistente."
108,5,Amei e sempre vou comprar aqui.
109,5,Ótima compra produto de qualidade recomendo.
110,5,"Excelente material, com certeza comprarei novamente."
111,5,Adorei certo que comprarei mais.
112,5,Bom produto. Comprarei novamente.
113,4,Papel offset 90g tam a4 sulfite pcts c/500 folhas muito bom.
114,1,Muito fina não tem diferença da folha de 75 g.
115,5,Excelente qualidade para planner e agendas.
116,5,Bom produto. Atendeu minhas expectativas.
117,5,"Tudo certinho, de ótima qualidade!."
118,5,Excelente qualidade. Recomendo.
119,4,"Ja comprei outras vezes. A cola eh ok, uso pra fazer guarda na encadernação, ele eh bem fino, levemente transparente se nao for impresso. Pro que eu preciso eh otimo!."
120,4,"Atende a proposta, mas não recomendo para meu uso como etiquetas do full, acaba dando muito trabalho para remover o adesivo após recorte."
121,5,"Excelente, boa resolução na impressão e boa aderência nas caixas, comprarei sempre."
122,5,Produto de qualidade. Atendeu perfeitamente ao nosso objetivo.
123,5,"Ótimo produto,recomendo a todos no mercado livre."
124,5,"Boa qualidade, imprimi e fica perfeito!."
125,5,"Produto de qualidade, excelente custo beneficio."
126,5,"Produto muito bom, resolveu meus problemas."
127,5,"Lindo !! ótimo tamanho, folha de qualidade. Encanta qualquer criança??."
128,5,"Com lindos desenhos para colorir! ótimo material, adoramos!."
129,5,"Muito bom, minha filha adorou."
130,5,Lindo grande perfeito crianca adorou.
131,4,"Papel muito bom, impressão ficou muito bonita, só um problema na impressão, fiz uma impressão bem escura, mas parece que ainda não secou totalmente, sai um pozinho bem fraquinho, não sei se é pq a impressão é mais carregada. Mas a impressão fica linda."
132,2,"No meu caso, não gostei. Utilizo para impressão de cupom fiscal e o papel é muito fino, a ponto de quase não dar pra ler o que sai impresso."
133,4,"Boa qualidade, só a cor que eu preferiria que fosse branca, mas e bem clara e fica bem nítida a impressão."
134,5,"Gostei muito do produto, voltarei mais vezes quando acabar."
135,5,"Bom produto, adequado a necessidade. Recomendo."
136,5,"Etiqueta com ótima qualidade, super aderente e fácil cortar no picote."
137,5,Muito bom ! etiquetas com bastante qualidade.
138,5,"Excelente, produto da forma que esperava."
139,4,"Aparentemente o produto é bom, bem fino e a cor laranja era exatamente o que eu esperava, mas ainda não testei."
140,5,"Otimo produto. Fino, quase não se percebe que é recorte. Acabamento das camisetas ficaram muito bom. Irei comprar mais vezes!."
141,5,Qualidade satisfatória. Consegui fazer a estampa em casa. Já lavei mais de uma vez e não descascou ou soltou.
142,5,Ótimo para decoração de camisetas e almofadas.
143,5,Adorei o produto! super fácil o manuseio!.
144,5,"Muito bom, com certeza comprarei novamente."
145,1,"Muito ruim, dinheiro jogado fora. A tinta não adere ao papel, os códigos de barra não podem encostar em nada quem saem, nem no toque dos dedos. E também quando vai tirar a etiqueta, conforme ela vai se curvando pra desprender da cartela, os códigos de barra vão perdendo a tinta, a tinta vai se despregando do papel. E o problema não é a tinta nem a impressora porque em outros papéis fica tudo normal e ótimo."
146,5,Produto de boa qualidade e fácil de usar até o momento não tive problema.
147,5,"Bom produto, barato neste tamanho de pedido, as etiquetas são ótimas."
148,5,"Bom, cumpriu com o esperado, vou voltar a comprar mais vezes."
149,5,"Etiquetas de muito boa qualidade, nunca tive problemas nas impressões."
150,5,"Muito bom, perfeito, atendeu as minhas expectativas e necessidades."
151,5,Produto de otima qualidade!! perfeito para etiquetas full.
152,5,Funcionou certinho para imprimir etiquetas p o full.
153,5,"Òtimo produto, boa cola, recomendo a todos!."
154,5,Muito bom!! exatamente como anunciado. Recomendo.
155,5,"Olá , produto muito bom. Recomendo !."
156,5,"Adorei as etiquetas, otima qualidade!."
157,5,Produto tem qualidade. Recomendo.
158,5,Produto muito bom.
159,5,"Adoro esse papel, ele é muito bom, gramatura boa, e muito bonito."
160,5,"Muito bom! recomendo, excelente papel!."
161,5,Produto excelente. Exatemente como queria.
162,5,As folhas são excelentes e com coloração e a textura adequada para impressão recomendo que você compre com certeza.
163,5,"A qualidade do papel é muito boa, ja fiz várias impressões e a qualidade é perfeita."
164,3,"Bom esperava mais, e estampa não solta bem(toda) do papel."
165,5,Muito  bom o eu estava esperando.
166,5,Comprei para presente e não passei vergonha. Recomendo a todos do ml.
167,5,"Produto bonito, pratico e com cores maravilhosas."
168,1,"Não gostei. 
Só veio três item do que está na foto."
169,1,Porque não veio tudo que tava na na foto.
170,5,Minha filha amouuuu tudo na caixa de surpresa.
171,5,"Ótimo produto, igual ao descrito, eu recomendo."
172,5,É um marca texto de ótima durabilidade. O design da ponta serve para grifos mais finos e grossos. Meu preferido.
173,3,"As canetas realmente escrevem em papel preto, porém são ponta grossa, como marcadores ou pincéis."
174,2,A escrita é muito boa a cor do prata é muito boa tambem. A cor do dourado nao gostei pensei que fosse mais escura é bem voltado para o amarelo dourado eu procurava algo mais para bronze dourado e para aplicação em plastico nao serve sai se passar o dedo!!!.
175,5,"As cores são bem vivas, e ficam bem em superfícies lisas."
176,4,"Achei as cores lindas, mas a tinta é muito forte e borrou para os lados, atravessou a linha de crochê que pintei e passou para o papel, precisa ter cuidado para ver em que tipo de superfície ele é bom para se usar."
177,5,"Sao perfeitas  papel preto , estou apaixonada."
