,score,comment
90,4,"A qualidade é muito boa, porém eu diria que ela fica entre o tamanho pp e o p, é pequena, um pouco abaixo do limite de mala de bordo. A rodinha dela por ser bem baixa também atrapalha um pouco a mobilidade. Mas pelo valor acredito que valeu a compra."
91,4,"Material resistente, rodinhas firmes, cadeado eficiente e espaço interno muito bom. Só achei que o acabamento interno poderia ser melhor, ao invés de fita isolante cobrindo os parafusos para evitar rasgos no tecido. Considero um ótimo investimento e já estou usando a minha nas viagens."
92,5,"Maravilhosa!. 
Superou minhas expectativas!. 
Muito bem feita. A alça é emborrachada, o puxador de aluminio. Tem a divisoria interna com fecho que facilita no retorno da viagem, podendo separar a roupa suja da limpa. 
Ou seja, simplesmente perfeita!!!."
93,5,"Mala muito bonita e boa, superou minhas expectativas pelo preço. Uma observação é que ela é um pouco menor que a mala de mão padrão, mas nada que atrapalhe ou surpreenda negativamente, pois o tamanho está na descrição."
94,5,"Perfeita, o tamanho é otimo e a cor é linda! unico problema é que quando coloco no bagageiro do onibus ela volta bem arranhada e acaba arranhando a tinta, vou ter que comprar uma capa."
95,4,"A mala é linda, porém bem pequena, comprei porq ia num dia e voltar no outro, se for p uma viagem um pouco mais longa, recomendo uma mala maior. Mas super satisfeita com ela."
96,5,"Linda e de ótima qualidade. Pra quem gosta de dobrar roupas no estilo marie kondo, ela é bem espaçosa pq dá pra usar os dois lados pra guardar as roupas dobradinhas. Recomendo!."
97,4,Dei 4 estrelas pq n cheguei ver as malas. Demos de presente e foi direto pra outra cidade. Mas eles adoraram e elogiaram bastante. Sei q já usaram tb e foi útil.
98,1,"Emtrega rapida. Mas o material é muito frágil. De fato as medidas sao fiéis , mas pecaram na qualidade. Pra quem busca preço baixo atende bem. Pra quem bisca qualidade , nao compensa."
99,5,"Produto muito bom, atende bem as necessidades para o dia-a-dia. Parece ser resistente para uso eventual,mas para uso contante talvez não seja por ser material plástico."
100,5,"A mala é de ótima qualidade, cor e acabamento. Somente o cadeado que travou no primeiro dia de uso e não abre mais. Mas ao todo valeu a compra."
101,5,"Amei! linda, as rodinhas sao muito boas e parece ser reforçada. O espaco interno é bem dividido e tem o tamanho certo para levar a bordo do avião. Recomendo."
102,5,"Achei lindíssima. O cadeado funciona bem. Não tenho experiência com malas, essa é a minha primeira. Mas as rodinhas funcionam bem e achei o valor bem acessível."
103,5,Expectativas atendidas levando em consideracao o valor pago. Fizemos viagem internacional com ela e nao tivemos problemas. Sendo bem cuidada acredito que deva durar um bom tempo.
104,5,"Adorei, qualidade muito boa, o tamanho é pequeno mas é até maior do que eu imaginei, o custo beneficio é ótimo, além disso, ela é linda."
105,2,Cadeado estragou no primeiro uso. Eu coloco uma senha e se a mala sofrer qualquer impacto ela desconfigura e preciso descobrir a senha nova. Não recomendo.
106,4,Adorei a cor e o acabamento é muito bom! só não dei 5 estrelas porque a alça as vezes dá uma travada quando vai recolher.
107,5,Ótimo custo benefício. As rodinhas são boas e não ficam prendendo. Os zíperes na parte de dentro ajudam bem na hora de organizar a mala.
108,5,"Exatamente como nas imagens. Não parece ser super robusta, mas eu não viajo muito, então supre as minhas necessidades. Recomendo, vale o preço."
109,5,"Material resistente, bonita, boa capacidade e tamanho ótimo para uso como bagagem de mão para aviões. Considero que tenha sido uma ótima escolha."
110,5,"Perfeita,exatamente igual a foto,bom acabamento, altura da alça  é de 99 cm,  meu marido é alto e ficou ótima. Super recomendo."
111,5,"Otimo custo beneficio, se você procura uma mala de borda pequena, mas espaçosa eu recomendo, sem contar que a mala é linda."
112,5,"Muito boa, linda e funcional! comprei pra minha mãe e ela ficou super satisfeita e já inaugurou !!! podem comprar sem medo."
113,1,Mala e muito pequena. Se vc for viajar é no maximo dois dias. Caso contrario nao serve. Muito pequena mesmo.
114,5,"Adorei! tamanho ideal, perfeita para transportar a bordo em avião, as rodinhas deslizam bem sem travar e é super leve."
