,score,comment
72,5,"Ainda não instalei os pendentes, mas gostei dos produtos, bonito, otimo acabamento e ja vieram com lampadas de leads."
73,5,Luminárias lindas e com ótimo custo benefício comparadas as que compramos em lojas físicas. Ótimo acabamento.
74,5,"Maravilhoso! ficou perfeito no meu banheiro. Material de excelente qualidade, acabamento e estética. Super recomendo."
75,5,"Ainda não instalei, mas veio tudo certo e ela é mais bonita pessoalmente."
76,5,Lindo  coloquei no minha cabeceira e ficou  show de tão lindo amei.
77,5,"Excelente produto,tanto na estética e quanto na facilidade de instalação."
78,5,Ótimo produto! comprei o preto e ficou bacana na varanda!.
79,5,Bom. De acordo com a imagem e com a descrição.
80,4,"Ainda não instalei, mas achei bom e bonito o produto."
81,3,"Produto ate bom, porem pedi uma cor e veio outra."
82,5,Ficou muito bom lindo adorei meu quarto ficou show.
83,3,"Bonito, mas a lâmpada não durou 3 meses."
84,5,"Maravilhoso e lindos, o fio é bem comprido."
85,5,Muito bom. Vale a pena comprar  ese peoduto6.
86,4,Produto bom! recomendo a compra. Bom custo benefício.
87,5,"Muito bonito, ficou perfeito no meu quarto."
88,4,Ótima qualidade e um preço super bom.
89,4,"Bom custo benefício, produto atendeu minha necessidade."
90,4,"Muito lindo,igualzinho como mostra a foto."
91,5,"Amei. Veio tudo encaixadinho, pronto para instalar!."
92,5,Produto muito bonito e com bom acabamento.
93,5,Muito satisfeito recomendo a todos produtos 100%.
94,5,Muito bonito e material de boa qualidade.
95,5,Luminárias muito bonitas e bem acabadas! recomendo!.
96,5,Delicado e muito bonito. Bom acabamento.
97,5,Tudo em perfeitas condições  amei parabéns.
98,5,"Produdo bem acabado ,. Indico a compra !!!."
99,5,Muito bonito e de boa qualidade.
100,5,Top. Ficou muito bonito na cozinha.
101,1,Não gostei parece um cano pintado.
102,5,Excelente produto atende perfeitamente como anunciado.
103,5,Muito bom. Ficou excelente no quarto.
104,5,Lindo e de excelente qualidade. Recomendo.
105,5,Produto de ótima qualidade recomendo.
106,5,Maravilhso!! valeu a pena comprar.
107,5,Produto de muito boa qualidade.
108,5,Produto excelente de ótima qualidade.
109,5,Bem enbalado pruduto conforme esperado.
110,5,Excelente produto. Tudo como esperado.
111,4,"Muito bom, recomendo o produto."
112,5,"Bonito, recomendo, fiquei satisfeito,."
113,5,"Bom custo benefício, fiz o teste ligando na parede e ficou muito bom."
114,5,Excelente! recomendo à todos!!!.
115,5,Cortina com um ótimo acabamento e material. Gostei muito da compra.
116,3,"Não é da mesma cor da foto, os detalhes são prata e não preto, porém qndo colocada e a luz apagada fica igual da imagem. Oque me decepcionou na compra foi a cor achei que fosse totalmente preta e escura como aparece na foto, porém o tecido é ótimo de ótima qualidade. 
Deixa o ambiente bem escuro e foi oq eu mais gostei, não troquei o produto pq iria dá muito trabalho."
117,5,"Comprei duas cortinas brancas para meus dois quartos e amei! são lindas! tecido maravilhoso, muito bonito. Comprei a medida de 4 metros e usei um varão de 2 metros e ficou bom."
118,3,Boa noite! a cortina é linda. Mas ñ cobre td a claridade d quarto! comprei errada só comprimento!  era pra ser curta mas td bm. Vou usar agora assim mesmo !.
119,5,"A cortina é muito bonita, material de qualidade, só gostaria que ela fosse um pouquinho mais grossa, não segura a luz, mas também não é translúcida. Vale a pena."
120,5,E linda amei bom material só achei q poderia ser mais grosso pra ficar mais escuro rs mais em geral e linda.
121,2,"Qualidade não é legal, estampa não é bonita como nas fotos e não escurece quase nada o ambiente."
122,5,"Produto conforme informado, material de ótima qualidade e escurece bem o ambiente, pois era essa a minha intenção."
123,5,Linda ! tecido muito bom não deixa transparente superou minhas expectativas. Amei minha cortina super recomendo.
124,5,Lindas cortinas material lindo e de otima qualidade! a branca é linda demais.
125,5,"Excelente cortina, acabamento perfeito eno design da estampa é muito lindo, super satisfeita."
126,4,Gostei ajuda bem com o vento que entra pela fresta da janela.
127,5,"Maravilhosa, amei minha compra. 
Comprarei mais, com certeza. 
Mercado livre sempre arrasando."
128,5,O produto e top fora que o material e de boa qualidade.
129,5,"Amei a cortina é linda deu certinho na minha sala, ficou linda."
130,5,"Gente, a cortina é linda! amei, vale muito a pena comprar!!!."
131,5,Muito boa. Estou pensando até em comprar outra para minha mãe.
132,4,"Muito linda,o tecido é muito transparente mais eu gostei."
133,5,Ótimo! da cor exata que eu queria! vale a pena!.
134,5,"Gostei muito da cortina,o tecido e de ótima qualidade."
135,5,"Excelente cortina, vale a pena comprar, vem exatamente com descrito."
136,5,"Linda, material e acabamento bons, escurece bem. Muito satisfeita! ????."
137,5,"Minha esposa gostou muito da cortina, recomendo a todos."
138,5,"Cortina muito bonita! ficou perfeita na minha sala, recomendo!."
139,5,Produto lindo! de ótima qualidade. Vou comprar  outra.
140,5,Linda maravilhosa amei vou comprar outra parabéns.
141,5,"Linda,linda. De excelente qualidade. Super recomendo."
142,4,Produto de boa qualidade. Superou a expectativa.
143,5,Adorei a cor o material tudo perfeito.
144,4,"Achei bonita, combinou com minha sala."
145,5,Tecido e acabamento muito boa qualidade.
146,5,"Produto maravilhoso, recomendo material bem resistente."
147,4,"Produto muito bom, atendeu minha  necessidade."
148,5,Amei. Muito bom o tecido. Excelente!!!.
149,5,Otimo valeu apena comprar com voçes.
150,5,Muito boa qualidade!!!! gostei bastante!!!.
151,5,"Tecido excelente, indico a compra."
